,Spillway Type,Dam Length (Ft),Federal Agency Involvement Other,Dam Name,Other Structure ID,Federal Agency Involvement Operation,Foundation,EAP Prepared,Core Types,Purposes,Congressional District,Surface Area (Acres),"Section, Township, or Range Location",Drainage Area (Sq Miles),Hydraulic Height (Ft),Federal Agency Involvement Design,Length of Locks,Primary Owner Type,City,geometry,Primary Dam Type,Owner Types,State Permitting Authority,River or Stream Name,Secondary Lock Width (Ft),Federal Agency Involvement Construction,NID Height Category,NID Storage (Acre-Ft),Federal Agency Involvement Funding,Years Modified,Other Names,Dam Height (Ft),State Jurisdictional Dam,County,Lock Width (Ft),EAP Last Revision Date,Length of Secondary Lock,Federal ID,Number of Associated Structures,State Regulated Dam,Distance to Nearest City (Miles),Year Completed Category,Dam Types,State Enforcement Authority,State Inspection Authority,Structural Height (Ft),Latitude,Hazard Potential Classification,Year Completed,Owner Names,NID Height (Ft),Source Agency,Condition Assessment,Inspection Frequency,Volume (Cubic Yards),Designer Names,Condition Assessment Date,Primary Purpose,Website URL,NID ID,Data Last Updated,Max Storage (Acre-Ft),State Regulatory Agency,Max Discharge (Cubic Ft/Second),Former Names,Federal Agency Involvement Inspection,Non-Federal Dam on Federal Property,Longitude,State or Federal Agency ID,Spillway Width (Ft),Federal Agency Involvement Regulatory,Normal Storage (Acre-Ft),Federal Agency Owners,State,Outlet Gate Type,Number of Locks,Last Inspection Date
0,,800,,Pariette East Dike,,,,Not Required,,Other,"Congressional District 01, Utah",,"14,9S~19E SL",0,8,,,Federal,NONE - DRAINS TO GRE,,Earth,Federal,Yes,PARIETTE DRAW,,,Less than 25 feet,1000,,,,,Yes,Uintah,,,,UT00400,0,Yes,0,1980-1989,Earth,Yes,Yes,13,40.0318569,Low,1980,BUREAU OF LAND MANAGEMENT,13,Utah,Not Rated,5,,,,Other,https://damsafety.org/utah,UT00400,2021-03-17,1000,Utah Division of Water Rights,,,,No,-109.7556947,UT00400,,,825,,Utah,,,2019-08-13
1,None,795,,Sheep Lake,,,Rock;Soil,Not Required,Earth,Irrigation,"Congressional District 03, Colorado",13,,0,25,,0,Private,CEDAREDGE,,Earth,Private,Yes,WARD CREEK-TR,,,25-50 feet,206,,,"Sheep Slough, Reservoir #14",25,Yes,Delta,0,,,CO01884,0,Yes,7,Before 1900,Earth,Yes,Yes,25,39.028332999999996,Low,1889,"SURFACE CREEK DITCH & RESERVOIR CO. (WAIBEL, KEITH",25,Colorado,Satisfactory,6,54638,,2021-06-09,Irrigation,https://damsafety.org/colorado,CO01884,2022-12-22,206,DWR,295,,,Yes,-107.987231,400514,14,,154,,Colorado,Slide (sluice gate);Uncontrolled,0,2021-08-30
2,Uncontrolled,3200,,Lake Viva Naughton,,,Rock,Yes,Earth,Irrigation;Other,"Congressional District 00, Wyoming",1936,14,233,77,,,Public Utility,KEMMERER,,Earth,Public Utility,Yes,HAM'S FORK RIVER,,,51-100 feet,77635,,1989,Enl of 6418r,83,Yes,Lincoln,,2022-11-01,,WY01281,0,Yes,14,1960-1969,Earth,Yes,Yes,83,41.97,High,1967,"PACIFICORP, NAUGHTON POWER PLANT",83,Wyoming,Fair,5,,HAROLD BOEHNER,2022-08-17,Irrigation,https://damsafety.org/wyoming,WY01281,2023-01-05,77635,SEO,14800,,,No,-110.66,7476R,50,,69645,,Wyoming,Uncontrolled0,,2022-08-17
3,,,,Provancha,,,,Not Required,,Irrigation,"Congressional District 03, Utah",,"14,29S~24E SL",1.1,,,,Private,NONE,,Earth,Private,Yes,"SPRINGS, TRIB. TO E. COYOTE",,,25-50 feet,50,,,,,Yes,San Juan,,,,UT00510,0,Yes,0,1970-1979,Earth,Yes,Yes,27,38.27851382,Low,1971,REDD RANCHES,27,Utah,Not Rated,5,,,,Irrigation,https://damsafety.org/utah,UT00510,2021-03-17,,Utah Division of Water Rights,,,,No,-109.2389989,UT00510,,,50,,Utah,,,2020-06-04
4,Uncontrolled,4900,,Bush Creek,,,Soil,Not Required,Earth,Irrigation,"Congressional District 00, Wyoming",2629,14,0,17,,,Private,NONE,,Earth,Private,Yes,BUSH CREEK,,,Less than 25 feet,28290,,,John Hay,22,Yes,Sweetwater,,,,WY01199,0,Yes,0,1940-1949,Earth,Yes,Yes,22,42.134,Low,1945,BLAIR & HAY LAND & LIVESTOCK COMPANY,22,Wyoming,Poor,5,,J.W.WISDA,2022-05-16,Irrigation,https://damsafety.org/wyoming,WY01199,2023-01-05,28290,SEO,0,,,Yes,-108.4974,4058R,250,,17267,,Wyoming,Valve2,,2022-05-16
5,Uncontrolled,150,,Divide Lake,,,Soil,Not Required,Earth,Irrigation,"Congressional District 00, Wyoming",133,14,0.56,8,,,Private,BOULDER,,Rockfill,Private,Yes,DIVIDE CREEK,,,Less than 25 feet,1681,,,,12,Yes,Sublette,,,,WY01218,0,Yes,19,1950-1959,Rockfill;Timber Crib,Yes,Yes,12,42.834722,Low,1954,TETON DIABLO RANCH,12,Wyoming,Poor,5,610,,2019-10-01,Irrigation,https://damsafety.org/wyoming,WY01218,2022-03-17,1681,SEO,0,,,Yes,-109.47833299999999,5365R,40,,1027,,Wyoming,Valve1,,2019-10-01
6,,450,,"Wilberg #2 (Middle, Old Dam)",,,,Yes,,Irrigation,"Congressional District 03, Utah",,"14,18S~8E SL",2.4,10,,,Private,NONE DRAINS DESERT,,Earth,Private,Yes,WILBERG DRAW,,,Less than 25 feet,100,,,,,Yes,Emery,,,,UT00724,0,Yes,0,Undetermined,Earth,Yes,Yes,13,39.25608216,Significant,,ROSS WILBERG,13,Utah,Not Rated,2,,,,Irrigation,https://damsafety.org/utah,UT00724,2021-03-17,100,Utah Division of Water Rights,,,,No,-110.9901184,UT00724,,,80,,Utah,,,2019-04-23
7,,640,,Atwood Lake,,,,Yes,,Irrigation,"Congressional District 01, Utah",,"14,4N~4W US",4,18,,,Private,WHITEROCKS,,Earth,Private,Yes,ATWOOD CREEK,,,Less than 25 feet,3600,,,,,Yes,Duchesne,,,,UT00014,0,Yes,27,1950-1959,Earth,Yes,Yes,23,40.74684944,Significant,1950,DRY GULCH IRRIGATION COMPANY,23,Utah,Not Rated,2,,,,Irrigation,https://damsafety.org/utah,UT00014,2021-03-17,3600,Utah Division of Water Rights,,,,No,-110.2873784,UT00014,,,2699,,Utah,,,2020-08-10
8,,450,,"Wilberg #3  (South, New Dam)",,,,Yes,,Irrigation,"Congressional District 03, Utah",,"14,18S~8E SL",2.4,19,,,Private,NONE DRAINS TO DESER,,Earth,Private,Yes,WILBERG DRAW,,,Less than 25 feet,120,,,,,Yes,Emery,,,,UT00725,0,Yes,0,Undetermined,Earth,Yes,Yes,22,39.25778301,Significant,,ROSS WILBERG,22,Utah,Not Rated,2,,,,Irrigation,https://damsafety.org/utah,UT00725,2021-03-17,120,Utah Division of Water Rights,,,,No,-110.9908933,UT00725,,,100,,Utah,,,2019-04-23
9,Uncontrolled,380,,Boulder Lake,,,Soil,Not Required,Earth,Irrigation,"Congressional District 00, Wyoming",1676,14,126.10000000000001,15,Natural Resources Conservation Service,,Private,BOULDER,,Earth,Private,Yes,BOULDER CREEK,,,25-50 feet,37800,,,,25,Yes,Sublette,,,,WY01195,0,Yes,6,1960-1969,Earth,Yes,Yes,25,42.836200000000005,Significant,1964,BOULDER IRRIGATION DISTRICT,25,Wyoming,,5,3200,C L ENDICOT;USDA NRCS,,Irrigation,https://damsafety.org/wyoming,WY01195,2022-03-17,37800,SEO,6190,,,Yes,-109.70540000000001,6572R,60,,22280,,Wyoming,Slide (sluice gate)2,,2020-08-10
10,Uncontrolled,2650,,Blatt Lake,,,Soil,Not Required,Earth,Fish and Wildlife Pond,"Congressional District 00, Wyoming",35.6,14,0.1,11,,,Private,UNNAMED RANCH,,Earth,Private,Yes,WILLOW CREEK OFFSTREAM,,,Less than 25 feet,600,,,,14,Yes,Sublette,,,,WY02280,0,Yes,0.6,Since 2000,Earth,Yes,Yes,18,42.999300000000005,Low,2001,BAR CROSS LLC,18,Wyoming,Fair,5,,,2022-07-19,Fish and Wildlife Pond,https://damsafety.org/wyoming,WY02280,2023-01-05,600,SEO,567,,,No,-109.94250000000001,11003R,30,,149,,Wyoming,None,,2022-07-19
11,None,4855,,Johnnie Johnson,,,,Not Required,,Fish and Wildlife Pond;Recreation,"Congressional District 03, Colorado",149,,0,23,,0,State,RANGELY,,Earth,State,Yes,WHITE RIVER-TR,,,25-50 feet,1781,,,Rio Blanco Reservoir,25,Yes,Rio Blanco,0,,,CO00964,0,Yes,39,1970-1979,Earth,Yes,Yes,28,40.088356,Low,1970,COLORADO PARKS AND WILDLIFE,28,Colorado,Unsatisfactory,6,80834,,2020-06-05,Recreation,https://damsafety.org/colorado,CO00964,2022-12-22,1781,DWR,8821,,,No,-108.21392900000001,430107,300,,1036,,Colorado,,0,2019-07-23
12,Uncontrolled,1050,,Soda Lake Wetlands,,,Soil,Not Required,Earth,Fish and Wildlife Pond,"Congressional District 00, Wyoming",24,27,3.9,6,,,State,,,Earth,State,Yes,SPRING CREEK,,,Less than 25 feet,105.26,,2021,,12,Yes,Sublette,,,,WY01866,0,Yes,0,1980-1989,Earth,Yes,Yes,15,42.973,Low,1989,WYOMING GAME AND FISH COMMISSION,15,Wyoming,Fair,5,6100,JON S. OGDEN,2019-07-23,Fish and Wildlife Pond,https://damsafety.org/wyoming,WY01866,2022-03-17,,SEO,41,,,No,-109.848,9375R,20,,105.26,,Wyoming,Other Controlled1,,2019-07-22
13,Uncontrolled,704,,Steamboat Springs Wastewater,,,,Not Required,,Other,"Congressional District 03, Colorado",9,,0,19,,0,Local Government,MILNER,,Earth,Local Government,Yes,YAMPA RIVER-OS,,,Less than 25 feet,279,,,,19,Yes,Routt,0,,,CO02272,0,Yes,6,1980-1989,Earth,Yes,Yes,19,40.491943,Low,1980,CITY OF STEAMBOAT SPRINGS (GILBERT ANDERSON),19,Colorado,Not Rated,6,27524,,,Other,https://damsafety.org/colorado,CO02272,2022-12-22,279,DWR,1350,,,No,-106.910568,580302,29,,53,,Colorado,,0,2018-10-23
14,None,750,,Bootjack North Augmentation Pond,,,,Not Required,,,"Congressional District 03, Colorado",5,,0,10,,0,Not Listed,,,,Not Listed,Yes,,,,Less than 25 feet,50,,,,10,Yes,Mineral,0,,,CO03039,,Yes,,Undetermined,,Yes,Yes,10,37.439088999999996,Low,,,10,Colorado,Not Rated,0,,,,,https://damsafety.org/colorado,CO03039,2022-12-22,,DWR,,,,,-106.896794,290149,,,50,,Colorado,,0,
15,Uncontrolled,550,,Thirtieth Street Dam,,,Unlisted/Unknown,No,,Flood Risk Reduction,"Congressional District 03, New Mexico",7.6000000000000005,T29N R13W S2,0.96,,,0,Local Government,FARMINGTON,,Earth,Local Government,Yes,COLLEGE ARROYO,,,Less than 25 feet,135,,,,22,Yes,San Juan,0,,,NM00423,0,Yes,0,1970-1979,Earth,Yes,Yes,,36.756,High,1979,CITY OF FARMINGTON,22,New Mexico,Poor,3,0,"BOHANNON HUSTON, INC.",2019-12-03,Flood Risk Reduction,https://damsafety.org/new-mexico,NM00423,2021-04-09,135,OFFICE OF THE STATE ENGINEER,3107,City of Farmington -Thirtieth Street  Dam,,No,-108.173,D-423,28,,0,,New Mexico,,0,2019-12-03
16,Uncontrolled,540,,Settling Basin,,,Soil,Not Required,Earth,Debris Control;Other,"Congressional District 00, Wyoming",13,32,0,19,,,Public Utility,HWY. 189,,Earth,Public Utility,Yes,HAMS FORK-OFFSTREAM,,,Less than 25 feet,88,,,,24,Yes,Lincoln,,,,WY01854,0,Yes,2,1980-1989,Earth,Yes,Yes,24,41.761944,Low,1985,"PACIFICORP, NAUGHTON POWER PLANT",24,Wyoming,Fair,5,18000,JOH R. KUNZ,2019-06-06,Debris Control,https://damsafety.org/wyoming,WY01854,2022-03-17,88,SEO,0,,,No,-110.603056,9204R,5,,88,,Wyoming,Valve3,,2019-06-06
17,Uncontrolled,445,,Badger Detention,,,,Not Required,,Flood Risk Reduction,"Congressional District 03, Colorado",28,,3,25,,0,Federal,MACK,,Earth,Federal,Yes,BADGER WASH,,,25-50 feet,380,,,,25,Yes,Mesa,0,,,CO01256,0,Yes,6,1950-1959,Earth,Yes,Yes,31,39.318339,Low,1957,U.S. BUREAU OF LAND MANAGEMENT,31,Colorado,Unsatisfactory,3,0,,2009-06-09,Flood Risk Reduction,https://damsafety.org/colorado,CO01256,2022-12-22,380,DWR,1160,,,No,-108.932234,720330,30,,190,,Colorado,,0,2000-05-10
