date,q_cms
1963-12-01,15.57424
1963-12-02,15.57424
1963-12-03,16.99008
1963-12-04,16.99008
1963-12-05,15.57424
1963-12-06,16.99008
1963-12-07,15.57424
1963-12-08,14.1584
1963-12-09,13.025728
1963-12-10,13.025728
1963-12-11,13.025728
1963-12-12,12.459392
1963-12-13,12.459392
1963-12-14,13.592064
1963-12-15,14.1584
1963-12-16,15.57424
1963-12-17,15.57424
1963-12-18,14.1584
1963-12-19,14.1584
1963-12-20,14.1584
1963-12-21,13.592064
1963-12-22,13.025728
1963-12-23,12.459392
1963-12-24,13.025728
1963-12-25,12.459392
1963-12-26,12.459392
1963-12-27,12.459392
1963-12-28,11.893056
1963-12-29,11.893056
1963-12-30,11.32672
1963-12-31,10.760384
1964-01-01,10.760384
1964-01-02,10.760384
1964-01-03,10.194048
1964-01-04,10.194048
1964-01-05,10.194048
1964-01-06,10.194048
1964-01-07,10.194048
1964-01-08,10.194048
1964-01-09,10.194048
1964-01-10,10.194048
1964-01-11,10.194048
1964-01-12,10.194048
1964-01-13,10.194048
1964-01-14,10.760384
1964-01-15,11.32672
1964-01-16,10.760384
1964-01-17,10.760384
1964-01-18,10.194048
1964-01-19,10.194048
1964-01-20,10.760384
1964-01-21,11.32672
1964-01-22,11.32672
1964-01-23,10.760384
1964-01-24,10.760384
1964-01-25,11.32672
1964-01-26,10.760384
1964-01-27,10.760384
1964-01-28,10.760384
1964-01-29,10.760384
1964-01-30,11.32672
1964-01-31,11.32672
1964-02-01,11.32672
1964-02-02,10.760384
1964-02-03,10.760384
1964-02-04,10.760384
1964-02-05,10.760384
1964-02-06,11.32672
1964-02-07,11.893056
1964-02-08,11.32672
1964-02-09,11.893056
1964-02-10,11.32672
1964-02-11,10.760384
1964-02-12,10.760384
1964-02-13,10.760384
1964-02-14,11.32672
1964-02-15,11.32672
1964-02-16,11.32672
1964-02-17,10.760384
1964-02-18,10.760384
1964-02-19,10.760384
1964-02-20,10.760384
1964-02-21,10.760384
1964-02-22,10.760384
1964-02-23,11.32672
1964-02-24,10.760384
1964-02-25,10.194048
1964-02-26,10.194048
1964-02-27,10.194048
1964-02-28,10.194048
1964-02-29,10.760384
1964-03-01,10.760384
1964-03-02,10.760384
1964-03-03,10.194048
1964-03-04,9.627712
1964-03-05,9.627712
1964-03-06,9.627712
