date,q_cms,prec_mean,tmax,tmin,wind,Nat-09380000
1921-10-01,201.61562,,,,,477741.0
1921-10-02,334.13824,,,,,477741.0
1921-10-03,221.72055,,,,,477741.0
1921-10-04,211.52649,,,,,477741.0
1921-10-05,191.9879,,,,,477741.0
1921-10-06,196.80176,,,,,477741.0
1921-10-07,196.80176,,,,,477741.0
1921-10-08,201.61562,,,,,477741.0
1921-10-09,191.9879,,,,,477741.0
1921-10-10,191.9879,,,,,477741.0
1921-10-11,191.9879,,,,,477741.0
1921-10-12,191.9879,,,,,477741.0
1921-10-13,196.80176,,,,,477741.0
1921-10-14,201.61562,,,,,477741.0
1921-10-15,191.9879,,,,,477741.0
1921-10-16,191.9879,,,,,477741.0
1921-10-17,182.64336,,,,,477741.0
1921-10-18,182.64336,,,,,477741.0
1921-10-19,173.58199,,,,,477741.0
1921-10-20,178.11267,,,,,477741.0
1921-10-21,182.64336,,,,,477741.0
1921-10-22,173.58199,,,,,477741.0
1921-10-23,173.58199,,,,,477741.0
1921-10-24,173.58199,,,,,477741.0
1921-10-25,173.58199,,,,,477741.0
1921-10-26,191.9879,,,,,477741.0
1921-10-27,201.61562,,,,,477741.0
1921-10-28,216.62352,,,,,477741.0
1921-10-29,216.62352,,,,,477741.0
1921-10-30,191.9879,,,,,477741.0
1921-10-31,182.64336,,,,,477741.0
1921-11-01,191.9879,,,,,410812.0
1921-11-02,191.9879,,,,,410812.0
1921-11-03,191.9879,,,,,410812.0
1921-11-04,191.9879,,,,,410812.0
1921-11-05,196.80176,,,,,410812.0
1921-11-06,201.61562,,,,,410812.0
1921-11-07,206.71265,,,,,410812.0
1921-11-08,206.71265,,,,,410812.0
1921-11-09,201.61562,,,,,410812.0
1921-11-10,201.61562,,,,,410812.0
1921-11-11,201.61562,,,,,410812.0
1921-11-12,201.61562,,,,,410812.0
1921-11-13,196.80176,,,,,410812.0
1921-11-14,196.80176,,,,,410812.0
1921-11-15,191.9879,,,,,410812.0
1921-11-16,182.64336,,,,,410812.0
1921-11-17,182.64336,,,,,410812.0
1921-11-18,191.9879,,,,,410812.0
1921-11-19,191.9879,,,,,410812.0
1921-11-20,196.80176,,,,,410812.0
1921-11-21,196.80176,,,,,410812.0
1921-11-22,196.80176,,,,,410812.0
1921-11-23,201.61562,,,,,410812.0
1921-11-24,196.80176,,,,,410812.0
1921-11-25,187.45721,,,,,410812.0
1921-11-26,187.45721,,,,,410812.0
1921-11-27,201.61562,,,,,410812.0
1921-11-28,211.52649,,,,,410812.0
1921-11-29,211.52649,,,,,410812.0
1921-11-30,216.62352,,,,,410812.0
1921-12-01,216.62352,,,,,458713.0
1921-12-02,211.52649,,,,,458713.0
1921-12-03,211.52649,,,,,458713.0
1921-12-04,206.71265,,,,,458713.0
1921-12-05,201.61562,,,,,458713.0
1921-12-06,201.61562,,,,,458713.0
1921-12-07,201.61562,,,,,458713.0
1921-12-08,211.52649,,,,,458713.0
1921-12-09,196.80176,,,,,458713.0
1921-12-10,182.64336,,,,,458713.0
1921-12-11,165.08694,,,,,458713.0
1921-12-12,165.08694,,,,,458713.0
1921-12-13,157.15823,,,,,458713.0
1921-12-14,149.51271,,,,,458713.0
1921-12-15,142.15033,,,,,458713.0
1921-12-16,142.15033,,,,,458713.0
1921-12-17,145.83151,,,,,458713.0
1921-12-18,153.47705,,,,,458713.0
1921-12-19,169.33446,,,,,458713.0
1921-12-20,173.58199,,,,,458713.0
1921-12-21,182.64336,,,,,458713.0
1921-12-22,206.71265,,,,,458713.0
1921-12-23,211.52649,,,,,458713.0
1921-12-24,227.10074,,,,,458713.0
1921-12-25,242.95815,,,,,458713.0
1921-12-26,277.7878,,,,,458713.0
1921-12-27,297.3264,,,,,458713.0
1921-12-28,334.13824,,,,,458713.0
1921-12-29,302.98975,,,,,458713.0
1921-12-30,259.9482,,,,,458713.0
1921-12-31,248.6215,,,,,458713.0
1922-01-01,242.95815,,,,,354102.0
1922-01-02,237.57796,,,,,354102.0
1922-01-03,232.19775,,,,,354102.0
1922-01-04,242.95815,,,,,354102.0
1922-01-05,283.168,,,,,354102.0
1922-01-06,254.28487,,,,,354102.0
1922-01-07,254.28487,,,,,354102.0
1922-01-08,237.57796,,,,,354102.0
1922-01-09,206.71265,,,,,354102.0
1922-01-10,187.45721,,,,,354102.0
1922-01-11,149.51271,,,,,354102.0
1922-01-12,125.44342,,,,,354102.0
1922-01-13,110.43552,,,,,354102.0
1922-01-14,104.77216,,,,,354102.0
1922-01-15,104.77216,,,,,354102.0
1922-01-16,116.38205,,,,,354102.0
1922-01-17,116.38205,,,,,354102.0
1922-01-18,122.328575,,,,,354102.0
1922-01-19,128.55827,,,,,354102.0
1922-01-20,128.55827,,,,,354102.0
1922-01-21,138.75232,,,,,354102.0
1922-01-22,125.44342,,,,,354102.0
1922-01-23,119.496895,,,,,354102.0
1922-01-24,113.2672,,,,,354102.0
1922-01-25,116.38205,,,,,354102.0
1922-01-26,125.44342,,,,,354102.0
1922-01-27,138.75232,,,,,354102.0
1922-01-28,135.07114,,,,,354102.0
1922-01-29,125.44342,,,,,354102.0
1922-01-30,125.44342,,,,,354102.0
1922-01-31,131.95628,,,,,354102.0
1922-02-01,145.83151,,,,,429948.0
1922-02-02,145.83151,,,,,429948.0
1922-02-03,142.15033,,,,,429948.0
1922-02-04,145.83151,,,,,429948.0
1922-02-05,149.51271,,,,,429948.0
1922-02-06,142.15033,,,,,429948.0
1922-02-07,149.51271,,,,,429948.0
1922-02-08,142.15033,,,,,429948.0
1922-02-09,138.75232,,,,,429948.0
1922-02-10,142.15033,,,,,429948.0
1922-02-11,182.64336,,,,,429948.0
1922-02-12,308.6531,,,,,429948.0
1922-02-13,283.168,,,,,429948.0
1922-02-14,271.84128,,,,,429948.0
1922-02-15,288.83136,,,,,429948.0
1922-02-16,277.7878,,,,,429948.0
1922-02-17,237.57796,,,,,429948.0
1922-02-18,216.62352,,,,,429948.0
1922-02-19,216.62352,,,,,429948.0
1922-02-20,221.72055,,,,,429948.0
1922-02-21,248.6215,,,,,429948.0
1922-02-22,288.83136,,,,,429948.0
1922-02-23,288.83136,,,,,429948.0
1922-02-24,302.98975,,,,,429948.0
1922-02-25,302.98975,,,,,429948.0
1922-02-26,297.3264,,,,,429948.0
1922-02-27,283.168,,,,,429948.0
1922-02-28,277.7878,,,,,429948.0
1922-03-01,271.84128,,,,,867877.0
1922-03-02,265.89474,,,,,867877.0
1922-03-03,265.89474,,,,,867877.0
1922-03-04,242.95815,,,,,867877.0
1922-03-05,216.62352,,,,,867877.0
1922-03-06,206.71265,,,,,867877.0
1922-03-07,201.61562,,,,,867877.0
1922-03-08,191.9879,,,,,867877.0
1922-03-09,191.9879,,,,,867877.0
1922-03-10,187.45721,,,,,867877.0
1922-03-11,178.11267,,,,,867877.0
1922-03-12,173.58199,,,,,867877.0
1922-03-13,173.58199,,,,,867877.0
1922-03-14,173.58199,,,,,867877.0
1922-03-15,178.11267,,,,,867877.0
1922-03-16,191.9879,,,,,867877.0
1922-03-17,283.168,,,,,867877.0
1922-03-18,475.72223,,,,,867877.0
1922-03-19,639.95966,,,,,867877.0
1922-03-20,693.7616,,,,,867877.0
1922-03-21,883.48413,,,,,867877.0
1922-03-22,883.48413,,,,,867877.0
1922-03-23,693.7616,,,,,867877.0
1922-03-24,600.31616,,,,,867877.0
1922-03-25,620.13794,,,,,867877.0
1922-03-26,600.31616,,,,,867877.0
1922-03-27,671.10815,,,,,867877.0
1922-03-28,693.7616,,,,,867877.0
1922-03-29,693.7616,,,,,867877.0
1922-03-30,628.63293,,,,,867877.0
1922-03-31,549.34595,,,,,867877.0
1922-04-01,487.04895,,,,,1224473.0
1922-04-02,453.0688,,,,,1224473.0
1922-04-03,410.5936,,,,,1224473.0
1922-04-04,382.2768,,,,,1224473.0
1922-04-05,368.1184,,,,,1224473.0
1922-04-06,396.4352,,,,,1224473.0
1922-04-07,467.2272,,,,,1224473.0
1922-04-08,504.03903,,,,,1224473.0
1922-04-09,532.35583,,,,,1224473.0
1922-04-10,512.53406,,,,,1224473.0
1922-04-11,504.03903,,,,,1224473.0
1922-04-12,504.03903,,,,,1224473.0
1922-04-13,512.53406,,,,,1224473.0
1922-04-14,495.544,,,,,1224473.0
1922-04-15,475.72223,,,,,1224473.0
1922-04-16,444.57376,,,,,1224473.0
1922-04-17,419.08865,,,,,1224473.0
1922-04-18,396.4352,,,,,1224473.0
1922-04-19,404.93024,,,,,1224473.0
1922-04-20,396.4352,,,,,1224473.0
1922-04-21,382.2768,,,,,1224473.0
1922-04-22,353.96,,,,,1224473.0
1922-04-23,382.2768,,,,,1224473.0
1922-04-24,495.544,,,,,1224473.0
1922-04-25,705.0883,,,,,1224473.0
1922-04-26,869.32574,,,,,1224473.0
1922-04-27,931.62274,,,,,1224473.0
1922-04-28,1025.0681,,,,,1224473.0
1922-04-29,1132.672,,,,,1224473.0
1922-04-30,1189.3055,,,,,1224473.0
1922-05-01,1203.464,,,,,4874849.0
1922-05-02,1319.5629,,,,,4874849.0
1922-05-03,1506.4537,,,,,4874849.0
1922-05-04,1568.7507,,,,,4874849.0
1922-05-05,1568.7507,,,,,4874849.0
1922-05-06,1727.3248,,,,,4874849.0
1922-05-07,1775.4634,,,,,4874849.0
1922-05-08,2030.3146,,,,,4874849.0
1922-05-09,2299.3242,,,,,4874849.0
1922-05-10,2457.8982,,,,,4874849.0
1922-05-11,2409.7598,,,,,4874849.0
1922-05-12,2299.3242,,,,,4874849.0
1922-05-13,2061.4631,,,,,4874849.0
1922-05-14,1854.7504,,,,,4874849.0
1922-05-15,1727.3248,,,,,4874849.0
1922-05-16,1599.8992,,,,,4874849.0
1922-05-17,1537.6023,,,,,4874849.0
1922-05-18,1458.3152,,,,,4874849.0
1922-05-19,1427.1667,,,,,4874849.0
1922-05-20,1568.7507,,,,,4874849.0
1922-05-21,1721.6615,,,,,4874849.0
1922-05-22,1857.582,,,,,4874849.0
1922-05-23,2089.7798,,,,,4874849.0
1922-05-24,2234.1956,,,,,4874849.0
1922-05-25,2372.9478,,,,,4874849.0
1922-05-26,2579.6604,,,,,4874849.0
1922-05-27,2695.7593,,,,,4874849.0
1922-05-28,2916.6304,,,,,4874849.0
1922-05-29,3114.848,,,,,4874849.0
1922-05-30,3228.1152,,,,,4874849.0
1922-05-31,3284.7488,,,,,4874849.0
1922-06-01,3228.1152,,,,,5624070.0
1922-06-02,3199.7983,,,,,5624070.0
1922-06-03,3029.8977,,,,,5624070.0
1922-06-04,2709.9177,,,,,5624070.0
1922-06-05,2440.9082,,,,,5624070.0
1922-06-06,2299.3242,,,,,5624070.0
1922-06-07,2299.3242,,,,,5624070.0
1922-06-08,2392.7695,,,,,5624070.0
1922-06-09,2506.0369,,,,,5624070.0
1922-06-10,2647.6208,,,,,5624070.0
1922-06-11,2944.9473,,,,,5624070.0
1922-06-12,3058.2144,,,,,5624070.0
1922-06-13,3058.2144,,,,,5624070.0
1922-06-14,2888.3137,,,,,5624070.0
1922-06-15,2823.185,,,,,5624070.0
1922-06-16,2806.1948,,,,,5624070.0
1922-06-17,2758.0564,,,,,5624070.0
1922-06-18,2489.0466,,,,,5624070.0
1922-06-19,2251.1855,,,,,5624070.0
1922-06-20,2140.75,,,,,5624070.0
1922-06-21,2140.75,,,,,5624070.0
1922-06-22,2123.76,,,,,5624070.0
1922-06-23,2123.76,,,,,5624070.0
1922-06-24,2044.4729,,,,,5624070.0
1922-06-25,2030.3146,,,,,5624070.0
1922-06-26,1951.0275,,,,,5624070.0
1922-06-27,1854.7504,,,,,5624070.0
1922-06-28,1744.3148,,,,,5624070.0
1922-06-29,1616.8893,,,,,5624070.0
1922-06-30,1568.7507,,,,,5624070.0
1922-07-01,1475.3053,,,,,2096584.0
