date,q_cms
1921-10-01,201.61562
1921-10-02,334.13824
1921-10-03,221.72055
1921-10-04,211.52649
1921-10-05,191.9879
1921-10-06,196.80176
1921-10-07,196.80176
1921-10-08,201.61562
1921-10-09,191.9879
1921-10-10,191.9879
1921-10-11,191.9879
1921-10-12,191.9879
1921-10-13,196.80176
1921-10-14,201.61562
1921-10-15,191.9879
1921-10-16,191.9879
1921-10-17,182.64336
1921-10-18,182.64336
1921-10-19,173.58199
1921-10-20,178.11267
1921-10-21,182.64336
1921-10-22,173.58199
1921-10-23,173.58199
1921-10-24,173.58199
1921-10-25,173.58199
1921-10-26,191.9879
1921-10-27,201.61562
1921-10-28,216.62352
1921-10-29,216.62352
1921-10-30,191.9879
1921-10-31,182.64336
1921-11-01,191.9879
1921-11-02,191.9879
1921-11-03,191.9879
1921-11-04,191.9879
1921-11-05,196.80176
1921-11-06,201.61562
1921-11-07,206.71265
1921-11-08,206.71265
1921-11-09,201.61562
1921-11-10,201.61562
1921-11-11,201.61562
1921-11-12,201.61562
1921-11-13,196.80176
1921-11-14,196.80176
1921-11-15,191.9879
1921-11-16,182.64336
1921-11-17,182.64336
1921-11-18,191.9879
1921-11-19,191.9879
1921-11-20,196.80176
1921-11-21,196.80176
1921-11-22,196.80176
1921-11-23,201.61562
1921-11-24,196.80176
1921-11-25,187.45721
1921-11-26,187.45721
1921-11-27,201.61562
1921-11-28,211.52649
1921-11-29,211.52649
1921-11-30,216.62352
1921-12-01,216.62352
1921-12-02,211.52649
1921-12-03,211.52649
1921-12-04,206.71265
1921-12-05,201.61562
1921-12-06,201.61562
1921-12-07,201.61562
1921-12-08,211.52649
1921-12-09,196.80176
1921-12-10,182.64336
1921-12-11,165.08694
1921-12-12,165.08694
1921-12-13,157.15823
1921-12-14,149.51271
1921-12-15,142.15033
1921-12-16,142.15033
1921-12-17,145.83151
1921-12-18,153.47705
1921-12-19,169.33446
1921-12-20,173.58199
1921-12-21,182.64336
1921-12-22,206.71265
1921-12-23,211.52649
1921-12-24,227.10074
1921-12-25,242.95815
1921-12-26,277.7878
1921-12-27,297.3264
1921-12-28,334.13824
1921-12-29,302.98975
1921-12-30,259.9482
1921-12-31,248.6215
1922-01-01,242.95815
1922-01-02,237.57796
1922-01-03,232.19775
1922-01-04,242.95815
