"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","Section, Township, or Range Location","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federally Regulated Dam","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Built Under the Authority of the Secretary of Agriculture","NRCS Watershed Dam Authorization","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Length of Secondary Lock","Lock Width (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","Operational Status","Operational Status Date","American Indian/Alaska Native/Native Hawaiian"
"Tuacahn Wash Lower Detention Basin","","Santa Clara","UT00443","","UT00443","SANTA CLARA CITY","Local Government","Local Government","0","","No","Flood Risk Reduction","Flood Risk Reduction","Utah","UT00443","37.13099643","-113.6377814","Utah","Washington","SANTA CLARA","0.1","UNNAMED TRIB. TO SANTA CLARA","Congressional District 02, Utah","15,42S~16W SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","","","24","29","29","25-50 feet","300","","1919","1910-1919","","145","145","78","","7.15","32","","260","","","","","","","2021-03-17","2019-10-23","2","High","Satisfactory","2013-04-16","Yes","","https://damsafety.org/utah","","",""
"St. George City - Navajo D.B.","","","UT50324","","UT50324","ST. GEORGE PUBLIC WORKS","Private","Private","0","","No","Flood Risk Reduction","Flood Risk Reduction","Utah","UT50324","37.05387127","-113.6230897","Utah","Washington","BLOOMINGTON","0","OS","Congressional District 02, Utah","15,43S~16W SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","","","8","12","12","Less than 25 feet","972","","2002","Since 2000","","28","28","19.88","","0.39","50","","60","","","","","","","2021-03-17","2020-11-18","2","High","Satisfactory","2002-01-01","Yes","","https://damsafety.org/utah","","",""
"Hollinger Debris Dam","","","NV00118","","NV00118","LINCOLN COUNTY FLOOD CONTROL DISTRICT","Local Government","Local Government","0","USDA NRCS","No","Debris Control","Debris Control;Flood Risk Reduction","Nevada","J-063","38.105000000000004","-114.168","Nevada","Lincoln","URSINE","12","MEADOW VALLEY WASH","Congressional District 04, Nevada","201 N03 E70 20","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","No","Natural Resources Conservation Service","","","Yes","Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566)","Earth","Earth","Earth","Soil","21","14","22","22","Less than 25 feet","2425","80000","1962","1960-1969","","640","640","437","90","203","3960","Uncontrolled","69","","","","","","Uncontrolled1","2023-05-25","2018-05-02","5","Low","Fair","2018-05-02","Not Required","","https://damsafety.org/nevada","","",""
"Upper Gila Valley Site No. 10 Dam","Winn Canyon Floodwater Retarding Structure","Winn Canyon","NM00257","","NM00257","UPPER GILA VALLEY ARROYOS WATERSHED DISTRICT","Local Government","Local Government","0","USDA NRCS","No","Flood Risk Reduction","Flood Risk Reduction;Debris Control","New Mexico","D-257","33.00953","-108.57437","New Mexico","Grant","UNINCORPORATED COMMUNITY SOUTHEAST OF DAM","","WINN CANYON","Congressional District 02, New Mexico","T15S R17W S11","Yes","Yes","OFFICE OF THE STATE ENGINEER","Yes","Yes","Yes","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","No","Natural Resources Conservation Service","","","Yes","Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566)","Earth","Earth","","Soil","47","","50","50","51-100 feet","650","141629","1963","1960-1969","","982","982","0","","13.5","7140","Uncontrolled","500","0","0","","0","","Uncontrolled0","2021-05-24","2018-05-23","3","High","Poor","2018-05-23","No","","https://damsafety.org/new-mexico","","",""
"Gila Bend Wwtp","","","AZ00274","","AZ00274","TOWN OF GILA BEND","Local Government","Local Government","0","","Yes","Other","Other","Arizona","","32.97083","-112.74833","Arizona","Maricopa","NO DATA","0","UNKNOWN","Congressional District 07, Arizona","S26, T5S, R5W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","12.200000000000001","12.200000000000001","","12.200000000000001","Less than 25 feet","3217","0","1995","1990-1999","","55.2","","55.2","13.8","","","None","0","0","0","","0","","","2021-04-02","2018-01-03","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Upper Gila Valley Site No. 4 Dam","Garcia Canyon Floodwater Retarding Structure","Garcia Canyon","NM00252","","NM00252","UPPER GILA VALLEY ARROYOS WATERSHED DISTRICT","Local Government","Local Government","0","USDA NRCS","No","Flood Risk Reduction","Flood Risk Reduction;Debris Control","New Mexico","D-252","32.990804","-108.551912","New Mexico","Grant","UNINCORPORATED COMMUNITY WEST OF DAM","","GARCIA CANYON","Congressional District 02, New Mexico","T15S R17W S24","Yes","Yes","OFFICE OF THE STATE ENGINEER","Yes","Yes","Yes","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","No","Natural Resources Conservation Service","","","Yes","Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566)","Earth","Earth","","Soil","30.5","","34.5","34.5","25-50 feet","655","58328","1962","1960-1969","","224","224","0","","2.3000000000000003","1490","Uncontrolled","110","0","0","","0","","Uncontrolled0","2021-05-24","2018-05-24","3","High","Poor","2018-05-24","No","","https://damsafety.org/new-mexico","","",""
"Upper Gila Valley Site No. 12 Dam","Kartchner Canyon Floodwater Retarding Structure","Kartchner Canyon","NM00259","","NM00259","UPPER GILA VALLEY ARROYOS WATERSHED DISTRICT","Local Government","Local Government","0","USDA NRCS","No","Flood Risk Reduction","Flood Risk Reduction;Debris Control","New Mexico","D-259","32.97918","-108.59954","New Mexico","Grant","UNINCORPORATED COMMUNITY SOUTHEAST OF DAM","","KARTCHNER CANYON","Congressional District 02, New Mexico","T15S R17W S21","Yes","Yes","OFFICE OF THE STATE ENGINEER","Yes","Yes","Yes","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","No","Natural Resources Conservation Service","","","Yes","Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566)","Earth","Earth","","Soil","30","29","41","41","25-50 feet","327","25680","1963","1960-1969","","118.8","118.8","0","10","1.2","900","Uncontrolled","60","0","0","","0","","Uncontrolled0","2021-05-24","2018-05-23","3","High","Poor","2018-05-23","No","","https://damsafety.org/new-mexico","","",""
"White Tanks #4","","","AZ00109","","AZ00109","FLOOD CONTROL DISTRICT OF MARICOPA COUNTY","Local Government","Local Government","0","USDA NRCS","No","Flood Risk Reduction","Flood Risk Reduction","Arizona","","33.450829999999996","-112.48139","Arizona","Maricopa","GOODYEAR","","GILA RIVER - TR","Congressional District 09, Arizona","S5, T1N, R2W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","No","Natural Resources Conservation Service","","","","","Earth","Earth","Earth","Soil","14","14","22","22","Less than 25 feet","6839","0","1956","1950-1959","","2250","2250","0","155","14.200000000000001","","Uncontrolled","0","0","0","","0","","Slide (sluice gate)","2021-05-24","2021-01-05","1","High","Fair","2018-01-09","Yes","","https://damsafety.org/arizona","","",""
"Camp Verde Wwtp Duck Ponds","","","AZ00310","","AZ00310","CAMP VERDE SANITATION DISTRICT","Public Utility","Public Utility","0","","Yes","Fish and Wildlife Pond","Fish and Wildlife Pond;Other","Arizona","","34.553889999999996","-111.83028","Arizona","Yavapai","NO DATA","0","OFFSTREAM","Congressional District 02, Arizona","S4, T13N, R5E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Unlisted/Unknown","13","","","13","Less than 25 feet","4890","0","1982","1980-1989","","189","","189","17","","","None","0","0","0","","0","","","2021-04-02","2011-10-17","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Upper Gila Valley Site No. 6 Dam","Maldonado Canyon Floodwater Retarding Structure","Maldonado Canyon","NM00253","","NM00253","UPPER GILA VALLEY ARROYOS WATERSHED DISTRICT","Local Government","Local Government","0","USDA NRCS","No","Flood Risk Reduction","Flood Risk Reduction;Debris Control","New Mexico","D-253","33.003917","-108.53059","New Mexico","Grant","UNINCORPORATED COMMUNITY NORTHWEST OF DAM","","MALDONADO CANYON","Congressional District 02, New Mexico","T15S R16W S18","Yes","Yes","OFFICE OF THE STATE ENGINEER","Yes","Yes","Yes","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","No","Natural Resources Conservation Service","","","Yes","Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566)","Earth","Earth","","Soil","32.2","31.7","37","37","25-50 feet","730","42139","1963","1960-1969","","203","203","0","17","2.16","1825","Uncontrolled","110","0","0","","0","","Uncontrolled0","2021-05-24","2018-05-24","3","High","Poor","2018-05-24","No","","https://damsafety.org/new-mexico","","",""
