"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","Section, Township, or Range Location","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Length of Secondary Lock","Lock Width (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","USACE Division","USACE District","Last EAP Exercise Date"
"Pariette East Dike","","","UT00400","","UT00400","BUREAU OF LAND MANAGEMENT","Federal","Federal","0","","No","Other","Other","Utah","UT00400","40.0318569","-109.7556947","Utah","Uintah","NONE - DRAINS TO GRE","0","PARIETTE DRAW","Congressional District 01, Utah","14,9S~19E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","8","13","13","Less than 25 feet","800","","1980","1980-1989","","1000","1000","825","","0","","","","","","","","","","2021-03-17","2019-08-13","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","Northwestern Division","Sacramento District",""
"Sheep Lake","Sheep Slough, Reservoir #14","","CO01884","","CO01884","SURFACE CREEK DITCH & RESERVOIR CO. (WAIBEL, KEITH","Private","Private","0","","Yes","Irrigation","Irrigation","Colorado","400514","39.028332999999996","-107.987231","Colorado","Delta","CEDAREDGE","7","WARD CREEK-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","25","25","25","25","25-50 feet","795","54638","1889","Before 1900","","206","206","154","13","0","295","None","14","0","0","","0","","Slide (sluice gate);Uncontrolled","2022-12-22","2021-08-30","6","Low","Satisfactory","2021-06-09","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Lake Viva Naughton","Enl of 6418r","","WY01281","","WY01281","PACIFICORP, NAUGHTON POWER PLANT","Public Utility","Public Utility","0","HAROLD BOEHNER","No","Irrigation","Irrigation;Other","Wyoming","7476R","41.97","-110.66","Wyoming","Lincoln","KEMMERER","14","HAM'S FORK RIVER","Congressional District 00, Wyoming","14","Yes","Yes","SEO","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock","83","77","83","83","51-100 feet","3200","","1967","1960-1969","1989","77635","77635","69645","1936","233","14800","Uncontrolled","50","","","","","","Uncontrolled0","2023-01-05","2022-08-17","5","High","Fair","2022-08-17","Yes","2022-11-01","https://damsafety.org/wyoming","South Pacific Division","Sacramento District",""
"Provancha","","","UT00510","","UT00510","REDD RANCHES","Private","Private","0","","No","Irrigation","Irrigation","Utah","UT00510","38.27851382","-109.2389989","Utah","San Juan","NONE","0","SPRINGS, TRIB. TO E. COYOTE","Congressional District 03, Utah","14,29S~24E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","","27","27","25-50 feet","","","1971","1970-1979","","50","","50","","1.1","","","","","","","","","","2021-03-17","2020-06-04","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","South Pacific Division","Sacramento District",""
"Bush Creek","John Hay","","WY01199","","WY01199","BLAIR & HAY LAND & LIVESTOCK COMPANY","Private","Private","0","J.W.WISDA","Yes","Irrigation","Irrigation","Wyoming","4058R","42.134","-108.4974","Wyoming","Sweetwater","NONE","0","BUSH CREEK","Congressional District 00, Wyoming","14","Yes","Yes","SEO","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Soil","22","17","22","22","Less than 25 feet","4900","","1945","1940-1949","","28290","28290","17267","2629","0","0","Uncontrolled","250","","","","","","Valve2","2023-01-05","2022-05-16","5","Low","Poor","2022-05-16","Not Required","","https://damsafety.org/wyoming","South Pacific Division","Sacramento District",""
"Divide Lake","","","WY01218","","WY01218","TETON DIABLO RANCH","Private","Private","0","","Yes","Irrigation","Irrigation","Wyoming","5365R","42.834722","-109.47833299999999","Wyoming","Sublette","BOULDER","19","DIVIDE CREEK","Congressional District 00, Wyoming","14","Yes","Yes","SEO","Yes","Yes","Yes","","","","","","","","","Rockfill","Rockfill;Timber Crib","Earth","Soil","12","8","12","12","Less than 25 feet","150","610","1954","1950-1959","","1681","1681","1027","133","0.56","0","Uncontrolled","40","","","","","","Valve1","2022-03-17","2019-10-01","5","Low","Poor","2019-10-01","Not Required","","https://damsafety.org/wyoming","Northwestern Division","Sacramento District",""
"Wilberg #2 (Middle, Old Dam)","","","UT00724","","UT00724","ROSS WILBERG","Private","Private","0","","No","Irrigation","Irrigation","Utah","UT00724","39.25608216","-110.9901184","Utah","Emery","NONE DRAINS DESERT","0","WILBERG DRAW","Congressional District 03, Utah","14,18S~8E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","10","13","13","Less than 25 feet","450","","","Undetermined","","100","100","80","","2.4","","","","","","","","","","2021-03-17","2019-04-23","2","Significant","Not Rated","","Yes","","https://damsafety.org/utah","South Pacific Division","Sacramento District",""
"Atwood Lake","","","UT00014","","UT00014","DRY GULCH IRRIGATION COMPANY","Private","Private","0","","No","Irrigation","Irrigation","Utah","UT00014","40.74684944","-110.2873784","Utah","Duchesne","WHITEROCKS","27","ATWOOD CREEK","Congressional District 01, Utah","14,4N~4W US","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","18","23","23","Less than 25 feet","640","","1950","1950-1959","","3600","3600","2699","","4","","","","","","","","","","2021-03-17","2020-08-10","2","Significant","Not Rated","","Yes","","https://damsafety.org/utah","Northwestern Division","Sacramento District",""
"Wilberg #3  (South, New Dam)","","","UT00725","","UT00725","ROSS WILBERG","Private","Private","0","","No","Irrigation","Irrigation","Utah","UT00725","39.25778301","-110.9908933","Utah","Emery","NONE DRAINS TO DESER","0","WILBERG DRAW","Congressional District 03, Utah","14,18S~8E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","19","22","22","Less than 25 feet","450","","","Undetermined","","120","120","100","","2.4","","","","","","","","","","2021-03-17","2019-04-23","2","Significant","Not Rated","","Yes","","https://damsafety.org/utah","South Pacific Division","Sacramento District",""
"Boulder Lake","","","WY01195","","WY01195","BOULDER IRRIGATION DISTRICT","Private","Private","0","C L ENDICOT;USDA NRCS","Yes","Irrigation","Irrigation","Wyoming","6572R","42.836200000000005","-109.70540000000001","Wyoming","Sublette","BOULDER","6","BOULDER CREEK","Congressional District 00, Wyoming","14","Yes","Yes","SEO","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","","","","Earth","Earth","Earth","Soil","25","15","25","25","25-50 feet","380","3200","1964","1960-1969","","37800","37800","22280","1676","126.10000000000001","6190","Uncontrolled","60","","","","","","Slide (sluice gate)2","2022-03-17","2020-08-10","5","Significant","","","Not Required","","https://damsafety.org/wyoming","South Pacific Division","Sacramento District",""
