date,q_cms
1938-10-01,1.4724736
1938-10-02,1.4724736
1938-10-03,1.4724736
1938-10-04,1.4724736
1938-10-05,1.4724736
1938-10-06,1.4724736
1938-10-07,1.4724736
1938-10-08,1.4724736
1938-10-09,1.4724736
1938-10-10,1.4724736
1938-10-11,0.70792
1938-10-12,0.70792
1938-10-13,0.70792
1938-10-14,0.70792
1938-10-15,0.70792
1938-10-16,0.70792
1938-10-17,0.70792
1938-10-18,0.70792
1938-10-19,0.70792
1938-10-20,0.70792
1938-10-21,0.70792
1938-10-22,0.70792
1938-10-23,0.70792
1938-10-24,0.70792
1938-10-25,0.70792
1938-10-26,0.70792
1938-10-27,0.70792
1938-10-28,0.70792
1938-10-29,0.70792
1938-10-30,0.70792
1938-10-31,0.70792
1938-11-01,0.70792
1938-11-02,0.70792
1938-11-03,0.70792
1938-11-04,0.70792
1938-11-05,0.70792
1938-11-06,0.70792
1938-11-07,0.70792
1938-11-08,0.70792
1938-11-09,0.70792
1938-11-10,2.0671265
1938-11-11,3.5396
1938-11-12,1.6140575
1938-11-13,0.70792
1938-11-14,0.70792
1938-11-15,0.70792
1938-11-16,0.70792
1938-11-17,0.70792
1938-11-18,0.70792
1938-11-19,0.70792
1938-11-20,0.70792
1938-11-21,0.70792
1938-11-22,0.70792
1938-11-23,0.70792
1938-11-24,0.70792
1938-11-25,0.70792
1938-11-26,0.70792
1938-11-27,0.70792
1938-11-28,0.70792
1938-11-29,0.70792
1938-11-30,0.70792
1938-12-01,0.70792
1938-12-02,0.70792
1938-12-03,0.70792
1938-12-04,0.70792
1938-12-05,0.70792
1938-12-06,0.70792
1938-12-07,0.70792
1938-12-08,0.70792
1938-12-09,0.70792
1938-12-10,0.70792
1938-12-11,0.70792
1938-12-12,0.70792
1938-12-13,0.70792
1938-12-14,0.70792
1938-12-15,0.70792
1938-12-16,0.70792
1938-12-17,0.70792
1938-12-18,0.70792
1938-12-19,0.70792
1938-12-20,0.70792
1938-12-21,0.70792
1938-12-22,0.70792
1938-12-23,0.70792
1938-12-24,0.70792
1938-12-25,0.70792
1938-12-26,0.70792
1938-12-27,0.70792
1938-12-28,0.70792
1938-12-29,0.70792
1938-12-30,0.70792
1938-12-31,0.70792
1939-01-01,0.70792
1939-01-02,0.70792
1939-01-03,0.70792
1939-01-04,0.70792
1939-01-05,0.70792
1939-01-06,0.70792
1939-01-07,0.70792
1939-01-08,0.70792
1939-01-09,0.70792
1939-01-10,0.70792
1939-01-11,0.70792
1939-01-12,0.70792
1939-01-13,0.70792
1939-01-14,0.70792
1939-01-15,0.70792
1939-01-16,0.70792
1939-01-17,0.70792
1939-01-18,0.70792
1939-01-19,0.70792
1939-01-20,0.70792
1939-01-21,0.70792
1939-01-22,0.70792
1939-01-23,0.70792
1939-01-24,0.70792
1939-01-25,0.70792
1939-01-26,0.70792
1939-01-27,0.70792
1939-01-28,0.70792
1939-01-29,0.70792
1939-01-30,0.70792
1939-01-31,0.70792
1939-02-01,0.70792
1939-02-02,0.70792
1939-02-03,0.70792
1939-02-04,0.70792
1939-02-05,0.70792
1939-02-06,0.70792
1939-02-07,0.70792
1939-02-08,0.70792
1939-02-09,0.70792
1939-02-10,0.70792
1939-02-11,0.70792
1939-02-12,0.70792
1939-02-13,0.70792
1939-02-14,0.70792
1939-02-15,0.70792
1939-02-16,0.70792
1939-02-17,0.70792
1939-02-18,0.70792
1939-02-19,0.70792
1939-02-20,0.70792
1939-02-21,0.70792
1939-02-22,0.70792
1939-02-23,0.70792
1939-02-24,0.70792
1939-02-25,0.70792
1939-02-26,0.70792
1939-02-27,0.70792
1939-02-28,0.70792
1939-03-01,0.70792
1939-03-02,0.70792
1939-03-03,0.70792
1939-03-04,0.70792
1939-03-05,0.70792
1939-03-06,0.70792
1939-03-07,0.70792
1939-03-08,0.70792
1939-03-09,0.70792
1939-03-10,0.70792
1939-03-11,0.70792
1939-03-12,0.70792
1939-03-13,0.70792
1939-03-14,0.70792
1939-03-15,0.70792
1939-03-16,0.70792
1939-03-17,0.70792
1939-03-18,0.70792
1939-03-19,0.70792
1939-03-20,0.70792
1939-03-21,0.70792
1939-03-22,0.70792
1939-03-23,0.70792
1939-03-24,0.70792
1939-03-25,0.70792
1939-03-26,0.70792
1939-03-27,0.70792
1939-03-28,0.70792
1939-03-29,0.9344544
1939-03-30,0.9344544
1939-03-31,0.9344544
1939-04-01,1.0760384
1939-04-02,1.0760384
1939-04-03,1.0760384
1939-04-04,1.3308896
1939-04-05,1.3308896
1939-04-06,1.3308896
1939-04-07,1.699008
1939-04-08,1.699008
1939-04-09,1.699008
1939-04-10,2.0671265
1939-04-11,2.0671265
1939-04-12,2.0671265
1939-04-13,2.265344
1939-04-14,2.265344
1939-04-15,2.265344
1939-04-16,2.265344
1939-04-17,2.265344
1939-04-18,2.265344
1939-04-19,2.690096
1939-04-20,2.12376
1939-04-21,0.70792
1939-04-22,0.70792
1939-04-23,0.70792
1939-04-24,0.70792
1939-04-25,0.70792
1939-04-26,0.70792
1939-04-27,0.70792
1939-04-28,0.70792
1939-04-29,0.70792
1939-04-30,0.70792
1939-05-01,0.70792
1939-05-02,0.70792
1939-05-03,0.70792
1939-05-04,0.70792
1939-05-05,0.70792
1939-05-06,0.70792
1939-05-07,0.70792
1939-05-08,0.70792
1939-05-09,0.70792
1939-05-10,0.70792
1939-05-11,0.70792
1939-05-12,0.70792
1939-05-13,0.70792
1939-05-14,0.70792
1939-05-15,0.70792
1939-05-16,0.70792
1939-05-17,0.70792
1939-05-18,0.70792
1939-05-19,0.70792
1939-05-20,0.70792
1939-05-21,0.70792
1939-05-22,0.70792
1939-05-23,1.0760384
1939-05-24,1.0760384
1939-05-25,1.3308896
1939-05-26,4.813856
1939-05-27,9.797613
1939-05-28,13.308896
1939-05-29,17.698
1939-05-30,21.803936
1939-05-31,21.634035
1939-06-01,22.115421
